UCI FJX v7.3d = 7.3c + new integ of O3&Q1D over wavelength (2/2016)
NEW FMT: Jshort(a6)|Jlong(a16)|Notes, including q's. T or p at begin of block
   18 NWWW   27 NSSS 18 J-bins, reads J's (1-3 Xsect blks interp T or 'p'(until 'endofJ')
w-eff |wavelength (nm) | SPhot wtd, FJ#18 cuts at 778nm
          187.      191.      193.      196.      202.      208.
          211.      214.      261.      267.      277.      295.
          303.      310.      316.      333.      383.      599.
SPhot |solar #/cm2/s   | SUSIM average 11Nov94(low) + 29Mar92(med-high)
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F141b
F142b |CH3CF2Cl=>      | CH3CF2Cl = HCFC-142b    JPL10
x210a 2.253E-20 8.483E-21 4.768E-21 2.113E-21 6.068E-22 1.276E-22 F142b
 210b 6.211E-23 9.375E-23 0.000E+00 1.766E-25 8.252E-25 0.000E+00 F142b
 210c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F142b
F142b
x298a 2.842E-20 1.172E-20 6.981E-21 3.370E-21 1.059E-21 2.543E-22 F142b
 298b 1.303E-22 1.602E-22 0.000E+00 4.755E-25 1.964E-24 0.000E+00 F142b
 298c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 F142b
CH3Br |CH3Br=>CH3+Br   | CH3Br = Methyl bromide     JPL10
x200a 1.064E-18 4.918E-19 5.748E-19 6.814E-19 7.562E-19 6.868E-19 CH3Br
 200b 6.096E-19 5.216E-19 6.038E-21 3.133E-20 3.378E-20 9.878E-26 CH3Br
 200c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CH3Br
CH3Br
x300a 1.091E-18 5.041E-19 5.891E-19 6.986E-19 7.717E-19 6.999E-19 CH3Br
 300b 6.239E-19 5.378E-19 7.764E-21 3.424E-20 3.540E-20 7.365E-25 CH3Br
 300c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CH3Br
H1211 |CF2ClBr=>       | CF2ClBr = halon 1211       JPL10
x200a 5.810E-19 6.607E-19 7.844E-19 9.493E-19 1.290E-18 1.385E-18 H1211
 200b 1.313E-18 1.181E-18 2.933E-20 8.981E-20 8.335E-20 2.038E-23 H1211
 200c 3.698E-24 1.109E-24 3.929E-25 5.010E-27 0.000E+00 0.000E+00 H1211
H1211
x300a 5.063E-19 5.757E-19 6.828E-19 8.271E-19 1.105E-18 1.166E-18 H1211
 300b 1.105E-18 9.995E-19 3.541E-20 8.319E-20 7.215E-20 1.068E-22 H1211
 300c 2.727E-23 8.654E-24 3.067E-24 3.910E-26 0.000E+00 0.000E+00 H1211
H1301 |CF3Br=>         | CF3Br = halon 1301         JPL10
x200a 6.268E-20 8.611E-20 9.979E-20 1.158E-19 1.400E-19 1.404E-19 H1301
 200b 1.282E-19 1.096E-19 6.655E-22 5.389E-21 6.890E-21 1.311E-25 H1301
 200c 1.580E-26 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 H1301
H1301
x300a 5.426E-20 7.273E-20 8.354E-20 9.598E-20 1.173E-19 1.227E-19 H1301
 300b 1.165E-19 1.047E-19 1.413E-21 7.024E-21 7.262E-21 4.028E-25 H1301
 300c 4.856E-26 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 H1301
H2402 |CF2BrCF2Br=>    | CF2BrCF2Br = halon 2402    JPL10
x200a 1.038E-18 1.137E-18 1.167E-18 1.193E-18 1.145E-18 1.013E-18 H2402
 200b 9.185E-19 8.183E-19 1.999E-20 6.373E-20 5.698E-20 2.284E-24 H2402
 200c 6.437E-25 2.441E-25 1.156E-25 1.879E-27 0.000E+00 0.000E+00 H2402
H2402
x300a 1.023E-18 1.133E-18 1.175E-18 1.221E-18 1.213E-18 1.101E-18 H2402
 300b 1.008E-18 9.029E-19 2.581E-20 7.236E-20 6.360E-20 4.568E-23 H2402
 300c 1.287E-23 4.881E-24 2.311E-24 3.757E-26 0.000E+00 0.000E+00 H2402
CH2Br2|CH2Br2=>        | CH2Br2 = dibromo methane    JPL10
x200a 2.106E-18 2.100E-18 2.205E-18 2.384E-18 2.343E-18 2.413E-18 CH2Br2
 200b 2.691E-18 3.182E-18 1.489E-19 4.916E-19 3.187E-19 5.186E-23 CH2Br2
 200c 8.043E-24 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CH2Br2
CH2Br2
x300a 1.983E-18 1.977E-18 2.076E-18 2.244E-18 2.206E-18 2.272E-18 CH2Br2
 300b 2.404E-18 2.561E-18 1.724E-19 3.708E-19 2.349E-19 2.670E-22 CH2Br2
 300c 4.141E-23 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CH2Br2
CHBr3 |CHBr3=>         | CHBr3 = bromoform   JPL10
x210a 5.928E-18 4.527E-18 4.157E-18 3.943E-18 4.498E-18 4.775E-18 CHBr3
 210b 5.072E-18 5.503E-18 7.881E-19 9.160E-19 5.449E-19 7.716E-21 CHBr3
 210c 1.996E-21 6.036E-22 2.461E-22 3.240E-23 3.414E-25 0.000E+00 CHBr3
CHBr3
x300a 5.630E-18 4.299E-18 3.948E-18 3.744E-18 4.272E-18 4.535E-18 CHBr3
 300b 4.817E-18 5.227E-18 8.969E-19 9.049E-19 5.338E-19 1.676E-20 CHBr3
 300c 5.066E-21 1.783E-21 7.401E-22 9.748E-23 1.027E-24 0.000E+00 CHBr3
CH3I  |CH3I=>CH3+I     | CH3I = Methyl iodide    JPL10
x243a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CH3I
 243b 3.958E-20 4.769E-20 8.257E-19 2.154E-19 7.349E-20 3.351E-20 CH3I
 243c 1.034E-20 4.435E-21 2.272E-21 4.393E-22 4.052E-24 0.000E+00 CH3I
CH3I
x300a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 CH3I
 300b 3.958E-20 4.769E-20 8.376E-19 2.438E-19 9.355E-20 4.680E-20 CH3I
 300c 1.529E-20 6.532E-21 3.328E-21 6.783E-22 1.038E-23 0.000E+00 CH3I
CF3I  |CF3I=>CF3+I     | CF3I = tri-fluoro iodo methane   JPL10
x243a 8.229E-21 3.885E-21 2.404E-21 1.653E-21 1.772E-21 2.856E-21 CF3I
 243b 4.178E-21 6.205E-21 5.540E-19 3.605E-19 2.108E-19 1.330E-19 CF3I
 243c 4.992E-20 2.036E-20 9.495E-21 1.567E-21 1.868E-23 0.000E+00 CF3I
CF3I
x300a 8.229E-21 3.885E-21 2.404E-21 1.653E-21 1.772E-21 2.856E-21 CF3I
 300b 4.178E-21 6.205E-21 5.164E-19 3.545E-19 2.275E-19 1.544E-19 CF3I
 300c 6.552E-20 2.972E-20 1.471E-20 2.620E-21 3.944E-23 0.000E+00 CF3I
OCS   |OCS=>CO+S       | OCS = carbonyl sulfide   JPL10
x200a 5.275E-20 3.879E-20 2.920E-20 2.343E-20 6.049E-20 1.232E-19 OCS
 200b 1.691E-19 2.181E-19 9.974E-21 4.126E-20 2.417E-20 9.292E-25 OCS
 200c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 OCS
OCS
x300a 7.547E-20 5.314E-20 3.637E-20 2.436E-20 6.009E-20 1.222E-19 OCS
 300b 1.689E-19 2.186E-19 1.382E-20 4.616E-20 2.470E-20 3.294E-24 OCS
 300c 7.435E-26 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 OCS
HAC   | 
 298a 2.430E-20 2.430E-20 2.430E-20 2.430E-20 2.430E-20 2.430E-20 
 298b 2.430E-20 2.430E-20 5.336E-20 4.061E-20 2.757E-20 1.735E-20
 298c 6.953E-21 2.917E-21 1.403E-21 4.377E-22 0.000E+00 0.000E+00
PAN   |CH3C(O)COONO2=>  |PeroxyAcetylNitrate =CH3C(O)O2+NO2[0.70] =CH3C(O)O+NO3[0.30]
e250a 7.378E-19 1.680E-18 2.179E-18 3.774E-18 3.022E-18 2.163E-18 PAN
 250b 1.735E-18 1.343E-18 6.568E-20 9.393E-20 8.602E-20 2.421E-21 PAN
 250c 9.352E-22 4.320E-22 2.291E-22 5.393E-23 7.265E-25 0.000E+00 PAN
PAN   |
e298a 8.121E-19 1.847E-18 2.379E-18 4.129E-18 3.193E-18 2.239E-18 PAN
 298b 1.803E-18 1.407E-18 7.914E-20 1.055E-19 9.304E-20 3.531E-21 PAN
 298c 1.414E-21 6.696E-22 3.632E-22 9.109E-23 1.324E-24 0.000E+00 PAN
CH3NO3|CH3ONO2=>CH3O+NO2| Methyl nitrate JPL10
 200a 4.459E-18 8.856E-18 1.020E-17 1.021E-17 6.757E-18 3.480E-18 CH3NO3
 200b 2.248E-18 1.458E-18 2.364E-20 4.404E-20 6.296E-20 3.955E-21 CH3NO3
 200c 1.626E-21 6.610E-22 2.584E-22 2.194E-23 2.573E-27 0.000E+00 CH3NO3
CH3NO3
 300a 6.234E-18 1.238E-17 1.426E-17 1.427E-17 9.445E-18 4.866E-18 CH3NO3
 300b 3.143E-18 2.038E-18 3.219E-20 6.182E-20 8.858E-20 6.137E-21 CH3NO3
 300c 2.740E-21 1.236E-21 5.475E-22 6.702E-23 1.287E-26 0.000E+00 CH3NO3
ActAld|Acetaldhyde     |CH3CHO=CH4+CO/CH3+CHO/H+CH3CO q=0.0/0.88/0.12 IUPAC14 P2 298K
p177a 0.000E+00 0.000E+00 1.989E-23 0.000E+00 3.699E-22 4.938E-22 ActAld
 177b 4.737E-22 4.659E-22 2.450E-20 3.409E-20 3.820E-20 3.732E-20 ActAld
 177c 2.707E-20 1.579E-20 6.566E-21 3.883E-22 5.683E-26 0.000E+00 ActAld
ActAld|
p566a 0.000E+00 0.000E+00 1.903E-23 0.000E+00 3.539E-22 4.725E-22 ActAld
 566b 4.533E-22 4.458E-22 2.270E-20 2.985E-20 3.199E-20 2.987E-20 ActAld
 566c 1.923E-20 9.497E-21 3.450E-21 1.914E-22 3.762E-26 0.000E+00 ActAld
ActAld|
p999a 0.000E+00 0.000E+00 1.822E-23 0.000E+00 3.389E-22 4.525E-22 ActAld
 999b 4.340E-22 4.269E-22 2.112E-20 2.647E-20 2.740E-20 2.479E-20 ActAld
 999c 1.485E-20 6.739E-21 2.319E-21 1.258E-22 2.790E-26 0.000E+00 ActAld
MeVK  |CH3C(O)CH=CH2 > | MethylVinyl Ketone = CH3C(O)CH=CH2    JPL10
 177a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 MeVK
 177b 0.000E+00 0.000E+00 1.800E-22 4.760E-21 5.468E-21 5.834E-21 MeVK
 177c 5.243E-21 4.484E-21 3.669E-21 1.710E-21 9.063E-23 0.000E+00 MeVK
MeVK                   | =>C3H6+CO[0.6] CH2CHCO+CH3[0.2] CH3CO+C2H3[0.2]
 566a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 MeVK
 566b 0.000E+00 0.000E+00 1.011E-22 2.673E-21 3.070E-21 3.275E-21 MeVK
 566c 2.943E-21 2.517E-21 2.061E-21 9.600E-22 5.079E-23 0.000E+00 MeVK
MeVK
 999a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 MeVK
 999b 0.000E+00 0.000E+00 6.933E-23 1.833E-21 2.106E-21 2.247E-21 MeVK
 999c 2.019E-21 1.725E-21 1.414E-21 6.587E-22 3.477E-23 0.000E+00 MeVK
MeAcr |CH2C(CH3)CHO >  | Methacrolein => CH2=C(CH3)+HCO (q=0.003) JPL10
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 MeAcr
 298b 0.000E+00 0.000E+00 9.450E-24 2.852E-23 5.252E-23 7.912E-23 MeAcr
 298c 1.182E-22 1.500E-22 1.779E-22 1.959E-22 3.982E-23 0.000E+00 MeAcr
GlyAld|HOCH2CHO >      | Glycol Aldehyde => CH2OH+HCO[0.83] CH3OH+CO[0.10] OH+CH2CHO[0.07]   JPL10
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 7.413E-20 1.879E-19 MeAcr
 298b 1.038E-19 4.946E-20 5.168E-20 5.719E-20 5.581E-20 4.810E-20 MeAcr
 298c 2.912E-20 1.567E-20 7.019E-21 7.099E-22 0.000E+00 0.000E+00 MeAcr
MEKeto|CH3COC2H5 >     | Methylethyl Ketone => C2H5+CH3CO[0.85] CH3+C2H5CO[0.15]  X67
p177a 0.000E+00 0.000E+00 4.387E-22 0.000E+00 4.393E-21 1.291E-21 MEKeto
 177b 1.231E-21 1.356E-21 3.133E-20 3.510E-20 3.397E-20 3.077E-20 MEKeto
 177c 1.981E-20 1.158E-20 5.697E-21 6.008E-22 2.756E-25 0.000E+00 MEKeto
MEKeto
p999a 0.000E+00 0.000E+00 1.982E-22 0.000E+00 1.984E-21 5.829E-22 MEKeto
 999b 5.559E-22 6.123E-22 1.415E-20 1.586E-20 1.534E-20 1.390E-20 MEKeto
 999c 8.947E-21 5.232E-21 2.574E-21 2.714E-22 1.244E-25 0.000E+00 MEKeto
PrAld |C2H5CHO >C2H5+  | Propionaldehyde(propanal) => C2H5+HCO  JPL10
 298a 0.000E+00 0.000E+00 1.797E-23 0.000E+00 3.430E-22 5.337E-22 PrAld
 298b 6.041E-22 6.842E-22 2.988E-20 4.520E-20 5.122E-20 5.545E-20 PrAld
 298c 4.628E-20 3.576E-20 2.436E-20 5.836E-21 1.246E-23 0.000E+00 PrAld
MGlyxl|CH3COC(O)H >HCO+| Methyl glyoxal = CH3COC(O)H => CH3CO + HCO   JPL10
p177a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 MGlyxl
 177b 0.000E+00 0.000E+00 2.085E-20 3.955E-20 4.398E-20 4.414E-20 MGlyxl
 177c 3.504E-20 2.355E-20 1.811E-20 6.006E-21 1.256E-20 8.631E-22 MGlyxl
MGlyxl
p566a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 MGlyxl
 566b 0.000E+00 0.000E+00 2.085E-20 3.955E-20 4.398E-20 4.414E-20 MGlyxl
 566c 3.504E-20 2.355E-20 1.811E-20 6.006E-21 7.045E-21 4.044E-22 MGlyxl
MGlyxl
p999a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 MGlyxl
 999b 0.000E+00 0.000E+00 2.085E-20 3.955E-20 4.398E-20 4.414E-20 MGlyxl
 999c 3.504E-20 2.355E-20 1.811E-20 6.006E-21 5.232E-21 2.543E-22 MGlyxl
Glyxla|CHOCHO=>HCO+HCO | Glyoxal[a] = CHOCHO => HCO+HCO      JPL10
p177a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Glyxla
 177b 0.000E+00 0.000E+00 1.173E-21 4.354E-21 5.353E-21 6.331E-21 Glyxla
 177c 7.090E-21 7.781E-21 7.452E-21 4.214E-21 5.124E-21 5.781E-23 Glyxla
Glyxla
p999a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Glyxla
 999b 0.000E+00 0.000E+00 1.173E-21 4.354E-21 5.353E-21 6.331E-21 Glyxla
 999c 7.090E-21 7.781E-21 7.452E-21 4.214E-21 2.864E-21 2.275E-23 Glyxla
Glyxlb|CHOCHO=>HCO+HCO | Glyoxal[b] = CHOCHO => H2+CO+CO     JPL10
p177a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Glyxlb
 177b 0.000E+00 0.000E+00 3.378E-21 1.177E-20 1.388E-20 1.453E-20 Glyxlb
 177c 1.224E-20 9.558E-21 6.758E-21 2.443E-21 7.973E-23 0.000E+00 Glyxlb
Glyxlb
p999a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Glyxlb
 999b 0.000E+00 0.000E+00 3.378E-21 1.177E-20 1.388E-20 1.453E-20 Glyxlb
 999c 1.224E-20 9.558E-21 6.758E-21 2.443E-21 7.973E-23 0.000E+00 Glyxlb
Glyxlc|CHOCHO=>HCO+HCO | Glyoxal[c] = CHOCHO => HCHO+CO      JPL10
p177a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Glyxlc
 177b 0.000E+00 0.000E+00 2.968E-21 1.178E-20 1.500E-20 1.704E-20 Glyxlc
 177c 1.636E-20 1.462E-20 1.148E-20 4.054E-21 4.054E-22 2.674E-24 Glyxlc
Glyxlc
p999a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Glyxlc
 999b 0.000E+00 0.000E+00 2.968E-21 1.178E-20 1.500E-20 1.704E-20 Glyxlc
 999c 1.636E-20 1.462E-20 1.148E-20 4.054E-21 2.775E-22 1.053E-24 Glyxlc
Acet-a|Acetn=CH3CO+CH3 | Acetone=CH3C(O)CH3          JPL10
p177a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Acet-a
 177b 0.000E+00 0.000E+00 0.000E+00 2.312E-20 2.824E-20 1.980E-20 Acet-a
 177c 5.927E-21 6.000E-22 5.868E-23 5.934E-25 0.000E+00 0.000E+00 Acet-a
Acet-a|
p566a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Acet-a
 566b 0.000E+00 0.000E+00 0.000E+00 1.486E-20 1.723E-20 1.240E-20 Acet-a
 566c 4.464E-21 7.146E-22 1.171E-22 2.202E-24 0.000E+00 0.000E+00 Acet-a
Acet-a|
p999a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Acet-a
 999b 0.000E+00 0.000E+00 0.000E+00 1.053E-20 1.237E-20 9.213E-21 Acet-a
 999c 3.702E-21 7.100E-22 1.357E-22 3.115E-24 0.000E+00 0.000E+00 Acet-a
Acet-b|Acetn=CH3+CH3+CO| Acetone=CH3C(O)CH3           JPL10
 235a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Acet-b
 235b 0.000E+00 0.000E+00 0.000E+00 3.678E-22 2.462E-22 1.158E-22 Acet-b
 235c 2.648E-23 6.014E-24 1.502E-24 4.211E-26 0.000E+00 0.000E+00 Acet-b
Acet-b|
 260a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Acet-b
 260b 0.000E+00 0.000E+00 0.000E+00 1.249E-21 1.020E-21 5.664E-22 Acet-b
 260c 1.681E-22 4.919E-23 1.477E-23 5.602E-25 0.000E+00 0.000E+00 Acet-b
Acet-b|
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 Acet-b
 298b 0.000E+00 0.000E+00 0.000E+00 4.209E-21 4.230E-21 2.804E-21 Acet-b
 298c 1.092E-21 4.079E-22 1.496E-22 7.707E-24 0.000E+00 0.000E+00 Acet-b
BIACET|
e298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 BIACET
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.594E-21 4.371E-21 BIACET
 298c 2.356E-21 1.316E-21 6.502E-22 4.175E-22 5.467E-21 9.367E-22 BIACET
GLYOX |
e296a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 GLYOX
 296b 0.000E+00 0.000E+00 1.924E-20 2.791E-20 3.425E-20 3.789E-20 GLYOX
 296c 3.572E-20 3.193E-20 2.573E-20 1.097E-20 2.060E-21 5.754E-23 GLYOX
ONIT1 | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.099E-20 
 298c 4.532E-21 1.951E-21 7.550E-22 3.300E-22 0.000E+00 0.000E+00
MPN   | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.601E-20
 298c 1.103E-20 5.239E-21 2.793E-21 2.250E-22 0.000E+00 0.000E+00
ETHLN | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.902E-20
 298c 6.428E-20 5.734E-20 4.883E-20 2.272E-20 0.000E+00 0.000E+00
PROPNN| 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 5.832E-20
 298c 4.196E-20 2.862E-20 1.808E-20 4.216E-21 0.000E+00 0.000E+00
MVKN  | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.601E-20
 298c 6.372E-20 4.202E-20 2.535E-20 4.860E-21 0.000E+00 0.000E+00
MACRN | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 1.328E-19
 298c 1.262E-19 1.113E-19 1.010E-19 6.449E-20 0.000E+00 0.000E+00
NITP  | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 3.120E-19 
 298b 2.882E-19 2.250E-19 2.716E-20 2.740E-20 2.143E-20 1.661E-20
 298c 8.052E-21 4.354E-21 2.452E-21 1.053E-21 6.973E-23 0.000E+00
HPALD1| 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 1.827E-21 5.514E-21 1.015E-20 1.530E-20
 298c 2.285E-20 2.900E-20 3.439E-20 3.787E-20 7.699E-21 0.000E+00
HPALD2| 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 1.733E-21 5.229E-21 9.629E-21 1.451E-20
 298c 2.167E-20 2.750E-20 3.262E-20 3.592E-20 7.300E-21 0.000E+00
PrAldP| 
 298a 0.000E+00 0.000E+00 1.797E-23 0.000E+00 3.430E-22 3.125E-19 
 298b 2.888E-19 2.257E-19 5.704E-20 7.260E-20 7.265E-20 6.107E-20
 298c 4.980E-20 3.816E-20 2.636E-20 6.559E-21 8.219E-23 0.000E+00
ICN   | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 1.733E-21 5.229E-21 9.629E-21 1.550E-20
 298c 2.620E-20 2.945E-20 3.337E-20 3.625E-20 7.300E-21 0.000E+00
MACRNP| 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 7.800E-20 
 298b 7.205E-20 5.625E-20 6.790E-21 6.850E-21 5.358E-21 3.460E-20
 298c 3.242E-20 2.843E-20 2.567E-20 1.630E-20 1.734E-23 0.000E+00
MVKCN | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 2.085E-20 3.955E-20 4.398E-20 4.513E-20
 298c 3.957E-20 2.550E-20 1.886E-20 6.336E-21 5.232E-21 2.154E-22
ENOL  | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298b 0.000E+00 0.000E+00 1.375E-20 1.085E-20 1.305E-20 1.600E-20
 298c 2.125E-20 2.610E-20 3.045E-20 3.295E-20 8.250E-21 0.000E+00
ONIT2 | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.198E-20
 298c 9.064E-21 3.902E-21 1.510E-21 6.600E-22 0.000E+00 0.000E+00
HP2   | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 6.240E-19 
 298b 5.764E-19 4.500E-19 5.432E-20 5.480E-20 4.286E-20 1.125E-20
 298c 7.040E-21 4.806E-21 3.394E-21 1.446E-21 1.395E-22 0.000E+00
HMHP  | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.184E-19 
 298b 2.017E-19 1.575E-19 1.901E-20 1.918E-20 1.500E-20 3.937E-21
 298c 2.464E-21 1.682E-21 1.188E-21 5.061E-22 4.881E-23 0.000E+00
CH2I2 | 
 273a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.204E-19 4.051E-18 
 273b 3.949E-18 3.666E-18 1.571E-18 3.144E-18 3.789E-18 3.773E-18 
 273c 3.466E-18 3.116E-18 2.679E-18 1.356E-18 5.362E-20 0.000E+00 
CH2I2 | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.204E-19 4.051E-18 
 298b 3.952E-18 3.677E-18 1.589E-18 3.065E-18 3.704E-18 3.714E-18 
 298c 3.446E-18 3.120E-18 2.692E-18 1.377E-18 5.900E-20 0.000E+00
CH2ICl| 
 223a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.377E-19 5.873E-19 
 223b 2.120E-19 1.145E-19 1.091E-18 8.447E-19 5.521E-19 3.727E-19 
 223c 1.646E-19 8.692E-20 5.127E-20 1.212E-20 5.625E-22 0.000E+00 
CH2ICl| 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 2.682E-19 7.470E-19 
 298b 3.544E-19 1.665E-19 1.031E-18 8.254E-19 5.804E-19 4.204E-19 
 298c 2.040E-19 1.110E-19 6.572E-20 1.930E-20 6.818E-22 0.000E+00
CH2IBr| 
 273a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 273b 0.000E+00 1.163E-18 2.011E-18 1.845E-18 1.487E-18 8.439E-19 
 273c 4.853E-19 3.061E-19 2.058E-19 6.617E-20 2.138E-21 0.000E+00 
CH2IBr| 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 1.104E-18 1.948E-18 1.826E-18 1.477E-18 8.549E-19
 298c 4.985E-19 3.168E-19 2.140E-19 7.134E-20 2.622E-21 0.000E+00
I2    | 
 295a 1.764E-17 1.609E-17 1.436E-17 1.121E-17 6.547E-18 4.546E-18 
 295b 4.033E-18 3.805E-18 9.654E-19 8.461E-19 6.429E-19 3.313E-19 
 295c 2.461E-19 1.831E-19 1.425E-19 7.183E-20 2.142E-20 8.271E-19 
HOI   | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 0.000E+00 9.700E-22 4.848E-21 1.420E-20
 298c 4.809E-20 9.995E-20 1.732E-19 3.478E-19 2.595E-19 1.377E-20
IO    | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298c 0.000E+00 0.000E+00 0.000E+00 2.623E-19 5.093E-18 5.189E-19
OIO   | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00
 298c 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 9.667E-19
INO   | 
 298a 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 
 298b 0.000E+00 0.000E+00 2.437E-17 6.252E-18 2.001E-18 1.433E-18
 298c 7.628E-19 4.420E-19 4.152E-19 4.286E-19 7.393E-19 8.373E-20
IONO  | 
